state,constituency,winner,party,gender,criminal cases,age,category,education,assets,liabilities,total electors,balance assets,total_cons_per_state,total_voters_per_state,total_voters_per_cons
Telangana,ADILABAD,1,BJP,1,52,52.0,ST,6,3099414.0,231450.0,1489790,2867964.0,74,127212819,3
Telangana,ADILABAD,0,TRS,1,0,54.0,ST,8,18477888.0,847000.0,1489790,17630888.0,74,127212819,3
Telangana,ADILABAD,0,INC,1,3,52.0,ST,6,36491000.0,15300000.0,1489790,21191000.0,74,127212819,3
Uttar Pradesh,AGRA,1,BJP,1,5,58.0,SC,9,74274036.0,8606522.0,1937690,65667514.0,251,458868319,3
Uttar Pradesh,AGRA,0,BSP,1,0,47.0,SC,8,133784385.0,22251891.0,1937690,111532494.0,251,458868319,3
Uttar Pradesh,AGRA,0,INC,0,0,54.0,SC,8,55075753.0,0.0,1937690,55075753.0,251,458868319,3
Maharashtra,AHMADNAGAR,1,BJP,1,0,37.0,GENERAL,9,168664576.0,2623964.0,1861396,166040612.0,175,321123079,3
Maharashtra,AHMADNAGAR,0,NCP,1,1,34.0,GENERAL,7,94488381.0,32549132.0,1861396,61939249.0,175,321123079,3
Maharashtra,AHMADNAGAR,0,VBA,1,0,62.0,GENERAL,7,13949000.0,1400000.0,1861396,12549000.0,175,321123079,3
Gujarat,AHMEDABAD EAST,1,BJP,1,0,58.0,GENERAL,5,74699690.0,6252577.0,1811851,68447113.0,69,119028011,2
Gujarat,AHMEDABAD EAST,0,INC,0,6,38.0,GENERAL,4,40375418.0,3121888.0,1811851,37253530.0,69,119028011,2
Gujarat,AHMEDABAD WEST,1,BJP,1,0,69.0,SC,8,89474039.0,0.0,1643317,89474039.0,69,119028011,3
Gujarat,AHMEDABAD WEST,0,INC,1,0,68.0,SC,7,262997727.0,18943977.0,1643317,244053750.0,69,119028011,3
Gujarat,AHMEDABAD WEST,0,BSP,1,0,66.0,SC,3,5354000.0,0.0,1643317,5354000.0,69,119028011,3
Rajasthan,AJMER,1,BJP,1,0,64.0,GENERAL,6,85101774.0,8319942.0,1876346,76781832.0,74,144688084,4
Rajasthan,AJMER,0,INC,1,0,40.0,GENERAL,7,853998231.0,306012685.0,1876346,547985546.0,74,144688084,4
Rajasthan,AJMER,0,BSP,1,0,60.0,SC,8,41740458.0,890000.0,1876346,40850458.0,74,144688084,4
Rajasthan,AJMER,0,APoI,1,0,60.0,SC,8,25792244.0,268705.0,1876346,25523539.0,74,144688084,4
Uttar Pradesh,AKBARPUR,1,BJP,1,0,64.0,GENERAL,4,28546617.0,559965.0,1766121,27986652.0,251,458868319,3
Uttar Pradesh,AKBARPUR,0,BSP,0,0,46.0,GENERAL,8,134448979.0,13619617.0,1766121,120829362.0,251,458868319,3
Uttar Pradesh,AKBARPUR,0,INC,1,1,58.0,GENERAL,7,19097262.0,8600000.0,1766121,10497262.0,251,458868319,3
Maharashtra,AKOLA,1,BJP,1,1,60.0,GENERAL,7,77153230.0,14985774.0,1865169,62167456.0,175,321123079,3
Maharashtra,AKOLA,0,VBA,1,0,64.0,GENERAL,7,58722916.0,0.0,1865169,58722916.0,175,321123079,3
Maharashtra,AKOLA,0,INC,1,1,60.0,GENERAL,4,14947292.0,483635.0,1865169,14463657.0,175,321123079,3
Kerala,ALAPPUZHA,1,CPI(M),1,2,54.0,GENERAL,7,15268906.0,2220700.0,1356701,13048206.0,63,82698658,3
Kerala,ALAPPUZHA,0,INC,0,0,52.0,GENERAL,8,18665943.0,825000.0,1356701,17840943.0,63,82698658,3
Kerala,ALAPPUZHA,0,BJP,1,1,64.0,GENERAL,9,16484722.0,0.0,1356701,16484722.0,63,82698658,3
Kerala,ALATHUR,1,INC,0,3,32.0,SC,4,1152816.0,0.0,1266794,1152816.0,63,82698658,3
Kerala,ALATHUR,0,CPI(M),1,0,44.0,SC,9,4083003.0,519379.0,1266794,3563624.0,63,82698658,3
Kerala,ALATHUR,0,BDJS,1,4,61.0,SC,4,1261055.0,685000.0,1266794,576055.0,63,82698658,3
Uttar Pradesh,ALIGARH,1,BJP,1,0,46.0,GENERAL,4,109522559.0,28095176.0,1887127,81427383.0,251,458868319,3
Uttar Pradesh,ALIGARH,0,BSP,1,0,51.0,GENERAL,9,281852783.0,0.0,1887127,281852783.0,251,458868319,3
Uttar Pradesh,ALIGARH,0,INC,1,4,62.0,GENERAL,7,12863000.0,4273034.0,1887127,8589966.0,251,458868319,3
West Bengal,ALIPURDUARS,1,BJP,1,9,43.0,ST,3,1418730.0,0.0,1648383,1418730.0,173,288147109,4
West Bengal,ALIPURDUARS,0,AITC,1,0,52.0,ST,7,9039609.0,581713.0,1648383,8457896.0,173,288147109,4
West Bengal,ALIPURDUARS,0,RSP,0,0,42.0,ST,8,2804955.0,304672.0,1648383,2500283.0,173,288147109,4
West Bengal,ALIPURDUARS,0,INC,1,0,44.0,ST,7,2320328.0,659760.0,1648383,1660568.0,173,288147109,4
Uttar Pradesh,ALLAHABAD,1,BJP,0,6,69.0,GENERAL,9,26919330.0,1600000.0,1716160,25319330.0,251,458868319,4
Uttar Pradesh,ALLAHABAD,0,SP,1,0,63.0,GENERAL,7,292681002.0,0.0,1716160,292681002.0,251,458868319,4
Uttar Pradesh,ALLAHABAD,0,INC,1,1,49.0,GENERAL,6,4200199.0,0.0,1716160,4200199.0,251,458868319,4
Uttar Pradesh,ALLAHABAD,0,CPI(M),1,0,77.0,GENERAL,8,31397972.0,308458.0,1716160,31089514.0,251,458868319,4
Uttarakhand,ALMORA,1,BJP,1,0,46.0,SC,6,9910448.0,55845.0,1337808,9854603.0,14,22213158,3
Uttarakhand,ALMORA,0,INC,1,1,60.0,SC,8,13293598.0,2500000.0,1337808,10793598.0,14,22213158,3
